"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DIVISLAB","EQ","01-Jun-2015","       1819.90","       1822.00","       1837.70","       1803.80","       1819.25","       1826.85","       1824.82","      46641","            85111288.70","       5264","      19447","         41.70"
"DIVISLAB","EQ","02-Jun-2015","       1826.85","       1818.05","       1839.90","       1801.00","       1815.00","       1812.85","       1822.26","     101029","           184101039.95","      10250","      63371","         62.73"
"DIVISLAB","EQ","03-Jun-2015","       1812.85","       1808.00","       1824.00","       1755.40","       1776.50","       1770.70","       1771.01","     275268","           487501443.85","      18375","     183740","         66.75"
"DIVISLAB","EQ","04-Jun-2015","       1770.70","       1771.10","       1819.95","       1765.50","       1800.00","       1813.20","       1793.36","     154992","           277956600.80","      17317","      99193","         64.00"
"DIVISLAB","EQ","05-Jun-2015","       1813.20","       1793.50","       1815.95","       1785.75","       1790.00","       1792.10","       1800.07","      89653","           161381426.20","      10912","      51290","         57.21"
"DIVISLAB","EQ","08-Jun-2015","       1792.10","       1790.00","       1790.00","       1742.15","       1755.00","       1768.40","       1760.57","     159177","           280241995.75","      13264","     114881","         72.17"
"DIVISLAB","EQ","09-Jun-2015","       1768.40","       1751.00","       1779.95","       1750.00","       1763.00","       1762.00","       1759.66","     134942","           237451483.75","       9454","      99106","         73.44"
"DIVISLAB","EQ","10-Jun-2015","       1762.00","       1761.50","       1795.00","       1756.00","       1780.95","       1771.25","       1781.58","     169240","           301514187.65","      15496","     131795","         77.87"
"DIVISLAB","EQ","11-Jun-2015","       1771.25","       1788.70","       1806.05","       1758.00","       1778.00","       1762.80","       1777.40","     151911","           270007361.25","       9953","     112354","         73.96"
"DIVISLAB","EQ","12-Jun-2015","       1762.80","       1770.00","       1788.30","       1759.00","       1767.90","       1764.30","       1769.87","      65624","           116145984.35","       7452","      40428","         61.61"
"DIVISLAB","EQ","15-Jun-2015","       1764.30","       1778.70","       1778.70","       1755.50","       1765.00","       1764.80","       1763.83","      85004","           149932783.60","       7548","      54050","         63.59"
"DIVISLAB","EQ","16-Jun-2015","       1764.80","       1765.00","       1783.65","       1755.00","       1768.60","       1771.90","       1768.54","      74337","           131468070.75","       5902","      50718","         68.23"
"DIVISLAB","EQ","17-Jun-2015","       1771.90","       1777.00","       1815.00","       1776.00","       1796.25","       1796.25","       1797.93","     150048","           269775274.40","      15681","     103351","         68.88"
"DIVISLAB","EQ","18-Jun-2015","       1796.25","       1802.00","       1861.50","       1802.00","       1860.00","       1838.95","       1824.35","     128834","           235038662.70","      11237","      73203","         56.82"
"DIVISLAB","EQ","19-Jun-2015","       1838.95","       1847.50","       1874.55","       1816.35","       1829.90","       1826.10","       1839.90","     139943","           257480999.85","      10040","      82800","         59.17"
"DIVISLAB","EQ","22-Jun-2015","       1826.10","       1838.00","       1840.65","       1796.90","       1809.55","       1809.20","       1816.24","     113565","           206260986.35","      10234","      69504","         61.20"
"DIVISLAB","EQ","23-Jun-2015","       1809.20","       1815.00","       1835.80","       1805.00","       1824.95","       1824.90","       1820.98","     115620","           210541171.20","       7526","      67128","         58.06"
"DIVISLAB","EQ","24-Jun-2015","       1824.90","       1824.90","       1841.95","       1803.10","       1817.00","       1814.90","       1817.58","     125272","           227691638.40","      14797","      61687","         49.24"
"DIVISLAB","EQ","25-Jun-2015","       1814.90","       1815.00","       1839.90","       1727.80","       1834.55","       1823.80","       1824.36","     236879","           432152328.45","      11511","     160207","         67.63"
